,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365A,B365D,FTR_original,HomeForm,HomeGD,DrawRate_Home,WinRate_Home,GoalsAvg_Home,AwayForm,AwayGD,DrawRate_Away,WinRate_Away,GoalsAvg_Away,Year,Month,Weekday,OddsRatio_HA,OddsDiff_HD,OddsDiff_AD,OddsGap_MinDelta,Form_Diff,IsDraw
73,2003-04-05,Marseille,Guingamp,0.0,2.0,2,0.0,2.0,2,1.5,6.0,3.4,A,7,-6.0,0.3,0.1,0.4,7,5.0,0.3,0.3,1.1,2003,4,5,0.25,-1.9,2.6,4.5,0,0
74,2003-04-05,Sochaux,Paris SG,0.0,0.0,1,0.0,0.0,0,2.25,2.875,3.0,D,7,3.0,0.2,0.3,0.7,7,2.0,0.3,0.3,0.7,2003,4,5,0.782608695652174,-0.75,-0.125,0.75,0,1
75,2003-04-05,Lens,Strasbourg,1.0,1.0,1,0.0,0.0,0,1.727,4.5,3.1,D,7,-9.0,0.2,0.0,0.4,7,0.0,0.1,0.3,0.9,2003,4,5,0.3837777777777778,-1.373,1.4,2.7729999999999997,0,1
76,2003-04-05,Bastia,Troyes,1.0,1.0,1,1.0,0.0,1,1.615,5.0,3.25,D,7,7.0,0.2,0.3,1.6,7,3.0,0.1,0.3,0.9,2003,4,5,0.323,-1.635,1.75,3.385,0,1
77,2003-04-05,Sedan,Montpellier,1.0,2.0,2,1.0,1.0,0,2.0,3.4,3.0,A,7,-1.0,0.4,0.1,0.5,7,0.0,0.2,0.3,0.7,2003,4,5,0.5882352941176471,-1.0,0.3999999999999999,1.4,0,0
78,2003-04-05,Lyon,Le Havre,2.0,1.0,0,1.0,1.0,0,1.364,8.0,3.75,H,7,4.0,0.3,0.3,0.9,7,-3.0,0.1,0.2,0.7,2003,4,5,0.1705,-2.386,4.25,6.636,0,0
79,2002-10-05,Montpellier,Lens,0.0,2.0,2,0.0,1.0,2,2.375,2.8,2.875,A,8,2.0,0.2,0.4,1.0,8,-2.0,0.3,0.2,0.6,2002,10,5,0.8482142857142858,-0.5,-0.07500000000000018,0.5,0,0
80,2002-10-05,Ajaccio,Nantes,1.0,0.0,0,0.0,0.0,0,2.25,3.0,2.875,H,8,-3.0,0.2,0.2,0.8,8,4.0,0.2,0.4,0.8,2002,10,5,0.75,-0.625,0.125,0.75,0,0
81,2002-10-05,Lille,Marseille,3.0,0.0,0,1.0,0.0,1,2.3,2.8,3.0,H,8,-3.0,0.2,0.2,0.5,8,4.0,0.4,0.3,1.0,2002,10,5,0.8214285714285714,-0.7000000000000002,-0.20000000000000018,0.7000000000000002,0,0
82,2002-10-05,Le Havre,Sochaux,1.0,0.0,0,0.0,0.0,0,2.5,2.625,2.875,H,8,1.0,0.3,0.3,0.7,8,-5.0,0.3,0.2,0.6,2002,10,5,0.9523809523809523,-0.375,-0.25,0.375,0,0
83,2002-10-05,Nice,Bastia,2.0,0.0,0,0.0,0.0,0,1.727,4.333,3.2,H,8,4.0,0.3,0.3,1.2,8,-5.0,0.4,0.2,1.0,2002,10,5,0.39856912070159245,-1.473,1.133,2.606,0,0
84,2002-10-05,Rennes,Lyon,0.0,1.0,2,0.0,0.0,0,2.8,2.3,3.0,A,8,5.0,0.1,0.4,1.2,8,-8.0,0.2,0.1,0.5,2002,10,5,1.2173913043478262,-0.20000000000000018,-0.7000000000000002,0.7000000000000002,0,0
