,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
228,2025-03-15,Lens,Rennes,1,0,H,30,35,29,36,36,29,W,L,L,W,L,W,L,L,L,W,26
229,2025-03-16,Lyon,Le Havre,4,2,H,46,24,31,51,42,21,W,D,W,W,L,L,W,L,W,W,26
230,2025-03-16,Montpellier,Saint Etienne,0,2,A,21,25,59,57,15,20,L,D,L,L,L,D,L,L,L,L,26
231,2025-03-16,Strasbourg,Toulouse,2,1,H,39,32,32,27,40,34,W,D,W,W,D,W,W,L,W,D,26
232,2025-03-16,Stade Brestois 29,Reims,0,0,D,38,26,40,40,36,22,W,L,L,L,D,L,D,L,W,L,26
233,2025-03-16,Paris Saint Germain,Marseille,3,1,H,70,52,24,30,65,49,W,L,W,W,W,L,W,W,W,W,26
234,2025-03-28,Strasbourg,Lyon,4,2,H,41,50,33,33,43,45,W,W,W,W,W,W,D,L,W,W,27
235,2025-03-29,Reims,Marseille,3,1,H,26,53,40,33,23,49,D,L,L,L,L,W,L,L,L,W,27
236,2025-03-29,Saint Etienne,Paris Saint Germain,1,6,A,27,73,57,25,23,68,W,W,D,W,L,W,D,W,L,W,27
237,2025-03-29,Monaco,Nice,2,1,H,51,50,32,31,47,47,W,D,D,L,W,W,L,W,W,W,27
238,2025-03-30,Toulouse,Stade Brestois 29,2,4,A,33,38,29,40,34,37,L,D,D,W,W,L,W,D,L,D,27
239,2025-03-30,Angers,Rennes,0,3,A,26,35,42,37,27,29,L,L,L,L,L,W,D,W,W,L,27
240,2025-03-30,Auxerre,Montpellier,1,0,H,37,21,39,61,32,15,D,L,W,L,L,L,W,L,D,L,27
241,2025-03-30,Le Havre,Nantes,3,2,H,26,29,55,43,21,27,L,W,D,L,W,L,L,W,L,L,27
