,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,FTR,HTGS,ATGS,HTGC,ATGC,HHGS,AHGS,HHGC,AHGC,HTP,ATP,HM1,AM1,HM2,AM2,HM3,AM3,HM4,AM4,HM5,AM5,MW
3988,2025-03-09,Eintracht Frankfurt,Union Berlin,1,2,1,0,A,50,21,37,36,29,24,20,11,42,24,L,L,L,L,W,L,D,W,D,D,25
3989,2025-03-09,1899 Hoffenheim,1. FC Heidenheim,1,1,1,0,D,31,27,46,50,15,17,23,19,25,15,W,L,D,D,W,L,L,L,L,L,25
3990,2025-03-14,FC St. Pauli,1899 Hoffenheim,1,0,0,1,H,19,32,30,47,11,16,12,23,22,26,D,D,L,W,L,D,L,W,L,L,26
3991,2025-03-15,Werder Bremen,Borussia Mönchengladbach,2,4,2,0,A,38,39,49,38,19,26,24,16,33,37,W,L,L,W,L,L,L,W,L,D,26
3992,2025-03-15,FSV Mainz 05,SC Freiburg,2,2,1,1,D,42,34,26,36,16,26,16,21,44,41,W,D,W,D,W,W,W,W,D,W,26
3993,2025-03-15,FC Augsburg,VfL Wolfsburg,1,0,0,1,H,28,49,35,39,18,15,19,24,35,38,W,D,D,W,W,D,D,W,D,D,26
3994,2025-03-15,Union Berlin,Bayern München,1,1,0,1,D,23,74,37,23,24,24,12,30,27,61,W,L,L,W,L,W,L,D,W,W,26
3995,2025-03-15,RB Leipzig,Borussia Dortmund,2,0,1,1,H,39,45,33,39,21,23,19,31,39,35,D,L,L,W,D,W,D,L,W,L,26
3996,2025-03-16,VfL Bochum,Eintracht Frankfurt,1,3,0,1,A,25,51,50,39,24,30,19,20,18,42,W,L,L,L,D,L,W,W,D,D,26
3997,2025-03-16,1. FC Heidenheim,Holstein Kiel,3,1,1,2,H,28,37,51,61,17,23,20,25,16,17,D,D,L,W,D,L,L,L,L,D,26
3998,2025-03-16,VfB Stuttgart,Bayer Leverkusen,3,4,1,2,A,44,55,39,30,21,22,25,20,37,53,D,L,L,W,D,W,L,D,W,D,26
3999,2025-03-28,Bayer Leverkusen,VfL Bochum,3,1,1,2,H,59,26,33,53,24,24,21,20,56,18,W,L,L,W,W,L,W,D,D,W,27
4000,2025-03-29,Bayern München,FC St. Pauli,3,2,1,2,H,75,20,24,30,25,11,30,13,62,25,D,W,L,D,W,L,W,L,D,L,27
4001,2025-03-29,VfL Wolfsburg,1. FC Heidenheim,0,1,0,0,A,49,31,40,52,16,18,24,22,38,19,L,W,D,D,W,L,D,D,W,L,27
4002,2025-03-29,Borussia Mönchengladbach,RB Leipzig,1,0,0,1,H,43,41,40,33,26,22,18,20,40,42,W,W,L,D,W,L,L,D,W,D,27
4003,2025-03-29,1899 Hoffenheim,FC Augsburg,1,1,0,1,D,32,29,48,35,17,18,23,20,26,38,L,W,D,W,W,D,D,W,W,D,27
4004,2025-03-29,Holstein Kiel,Werder Bremen,0,3,0,0,A,38,40,64,53,25,21,26,24,17,33,L,L,D,W,W,L,L,L,L,L,27
4005,2025-03-29,Eintracht Frankfurt,VfB Stuttgart,1,0,0,1,H,54,47,40,43,31,22,20,27,45,37,W,L,L,D,L,L,L,D,W,L,27
4006,2025-03-30,SC Freiburg,Union Berlin,1,2,1,0,A,36,24,38,38,27,24,22,13,42,28,D,D,D,W,D,L,W,L,W,L,27
4007,2025-03-30,Borussia Dortmund,FSV Mainz 05,3,1,2,1,H,45,44,41,28,24,17,32,17,35,45,L,D,L,W,W,W,W,W,L,W,27
